TJ번호,제목(원어),제목(한국어),발매일 / 커버일,앨범커버,원곡가수,곡유형,링크,번역가사 링크
,Legendary,,2018-05-02,https://bang-dream.com/wordpress/wp-content/uploads/2026/02/17181226/6b2eea44-300fc183-b9cf0fc7-01aed89b.jpg,Roselia,오리지널,https://youtu.be/MaWXiKOzwUc,https://namu.wiki/w/Legendary
,R,,2018-07-25,https://bang-dream.com/wordpress/wp-content/uploads/2026/02/17181320/4a53e62a-2b977197-972f63f8-f756c495.jpg,Roselia,오리지널,https://youtu.be/ZqdMPCDsCeE?si=KekCUbVGHfSpIU2m,https://namu.wiki/w/R%28BanG%20Dream%21%29
,BRAVE JEWEL,,2018-12-12,https://bang-dream.com/wordpress/wp-content/uploads/2026/02/17181415/9a651322-a0fdb709-e709062f-970dc9ff.jpg,Roselia,오리지널,https://youtu.be/MHXRfiufs2o,https://namu.wiki/w/BRAVE%20JEWEL
,Sanctuary,,2018-12-12,https://bang-dream.com/wordpress/wp-content/uploads/2026/02/17181415/9a651322-a0fdb709-e709062f-970dc9ff.jpg,Roselia,오리지널,https://youtu.be/LAPLzxHzaHY,https://namu.wiki/w/Sanctuary%28BanG%20Dream%21%29
,Safe and Sound,,2019-02-20,https://bang-dream.com/wordpress/wp-content/uploads/2026/02/17181446/99c0698e-2aad65cb-490fdedb-dc89a0c1.jpg,Roselia,오리지널,https://youtu.be/l4JL3HYzEqs,https://namu.wiki/w/Safe%20and%20Sound
,PASSIONATE ANTHEM,,2019-02-20,https://bang-dream.com/wordpress/wp-content/uploads/2026/02/17181446/99c0698e-2aad65cb-490fdedb-dc89a0c1.jpg,Roselia,오리지널,https://youtu.be/68Gwwqp1DK4?si=sS0FUI36ckQ2gPdW,https://namu.wiki/w/PASSIONATE%20ANTHEM
,FIRE BIRD,,2019-07-24,https://bang-dream.com/wordpress/wp-content/uploads/2026/02/17181517/7fbf4ac6-39ded041-1d51a256-b3f670b9.jpg,Roselia,오리지널,https://youtu.be/ac66DA0pDbg?si=OiJ03Uq7d34L3vrm,https://namu.wiki/w/FIRE%20BIRD%28BanG%20Dream%21%29
,Ringing Bloom,,2019-07-24,https://bang-dream.com/wordpress/wp-content/uploads/2026/02/17181517/7fbf4ac6-39ded041-1d51a256-b3f670b9.jpg,Roselia,오리지널,https://youtu.be/h4cEEXCPO8M?si=pUo0XQla2Uo7ml_e,https://namu.wiki/w/Ringing%20Bloom
,約束,약속,2020-01-15,https://bang-dream.com/wordpress/wp-content/uploads/2026/02/17181627/2b7eb458-557ce65c-f3ba4d0c-15b9fd71.jpg,Roselia,오리지널,https://youtu.be/Xrx-qzgzhek,https://namu.wiki/w/%E7%B4%84%E6%9D%9F%28BanG%20Dream%21%29
,“UNIONS” Road,,2020-01-15,https://bang-dream.com/wordpress/wp-content/uploads/2026/02/17181627/2b7eb458-557ce65c-f3ba4d0c-15b9fd71.jpg,Roselia,오리지널,https://youtu.be/1afLYh5w8XY,https://namu.wiki/w/%22UNIONS%22%20Road
