TJ번호,제목(원어),제목(한국어),발매일 / 커버일,앨범커버,원곡가수,곡유형,링크,번역가사 링크
,Sweets BAN!,Sweets BAN!,2021-08-18,https://bang-dream.com/wordpress/wp-content/uploads/2026/02/17181928/834abd0f-44eff17a-61213722-f75baf6c.png,Poppin'Party,오리지널,https://www.youtube.com/watch?v=_Zbm5jidUmM,https://namu.wiki/w/Sweets%20BAN%21
,キミが始まる！,네가 시작돼!,2021-08-18,https://bang-dream.com/wordpress/wp-content/uploads/2026/02/17181928/834abd0f-44eff17a-61213722-f75baf6c.png,Poppin'Party,오리지널,https://www.youtube.com/watch?v=tjFia-3Se94,https://namu.wiki/w/%E3%82%AD%E3%83%9F%E3%81%8C%E5%A7%8B%E3%81%BE%E3%82%8B%EF%BC%81
,ここから先は歌にならない,여기서부터는 노래가 되지 않아,2021-08-18,https://bang-dream.com/wordpress/wp-content/uploads/2026/02/17181928/834abd0f-44eff17a-61213722-f75baf6c.png,Poppin'Party,오리지널,https://www.youtube.com/watch?v=YfSxTmBzz9k,https://namu.wiki/w/%E3%81%93%E3%81%93%E3%81%8B%E3%82%89%E5%85%88%E3%81%AF%E6%AD%8C%E3%81%AB%E3%81%AA%E3%82%89%E3%81%AA%E3%81%84
,イントロダクション,Introduction,2021-12-01,https://bang-dream.com/wordpress/wp-content/uploads/2026/02/17182017/191e24ae-2ea26494-7565bdb3-13785e54.png,Poppin'Party,오리지널,https://www.youtube.com/watch?v=1GdIsgnfnJs,https://namu.wiki/w/%E3%82%A4%E3%83%B3%E3%83%88%E3%83%AD%E3%83%80%E3%82%AF%E3%82%B7%E3%83%A7%E3%83%B3
,ぽっぴん'どりーむ！,Poppin'Dream!,2022-01-05,https://lh3.googleusercontent.com/BDKwzoP8o1GZ-jnnhtz0xFukVZweI9ijYKPkwHkAEAJoyzC5XqbfogLZ3rVtqaFxTqPcq35cYuroLy-kNA,Poppin'Party,오리지널,https://www.youtube.com/watch?v=-ISFvqdfTHo,https://namu.wiki/w/%E3%81%BD%E3%81%A3%E3%81%B4%E3%82%93%27%E3%81%A9%E3%82%8A%E3%83%BC%E3%82%80%EF%BC%81
,星の約束,별의 약속,2022-01-05,https://bang-dream.com/wordpress/wp-content/uploads/2026/02/17182008/2b4b19c7-021188f3-40603307-b0892a20.jpg,Poppin'Party,오리지널,https://www.youtube.com/watch?v=fa9khQQc5HE,https://namu.wiki/w/%E6%98%9F%E3%81%AE%E7%B4%84%E6%9D%9F
,夏に閉じこめて,여름에 가두고,2022-08-31,https://bang-dream.com/wordpress/wp-content/uploads/2026/02/17182229/560d6b5e-a5635100-444afdcb-10333faf.jpg,Poppin'Party,오리지널,https://www.youtube.com/watch?v=02n9fIuuew8,https://namu.wiki/w/%E5%A4%8F%E3%81%AB%E9%96%89%E3%81%98%E3%81%93%E3%82%81%E3%81%A6
,勇気Limit！,용기Limit!,2022-08-31,https://bang-dream.com/wordpress/wp-content/uploads/2026/02/17182229/560d6b5e-a5635100-444afdcb-10333faf.jpg,Poppin'Party,오리지널,https://www.youtube.com/watch?v=HNpDj7g9Fd0,https://namu.wiki/w/%E5%8B%87%E6%B0%97Limit%EF%BC%81
,Moonlight Walk,Moonlight Walk,2022-08-31,https://bang-dream.com/wordpress/wp-content/uploads/2026/02/17182229/560d6b5e-a5635100-444afdcb-10333faf.jpg,Poppin'Party,오리지널,https://www.youtube.com/watch?v=Ie0-J4-CMk4,https://namu.wiki/w/Moonlight%20Walk
,最強☆ソング,최강☆송,2023-05-06,https://bang-dream.com/wordpress/wp-content/uploads/2026/02/17183003/cfdfede5-f58eec40-d0907cca-2de4aa81.png,Poppin'Party,오리지널,https://www.youtube.com/watch?v=pSYXzPMhsPQ,https://namu.wiki/w/%E6%9C%80%E5%BC%B7%E2%98%86%E3%82%BD%E3%83%B3%E3%82%B0
